video,num_annotators,num_classes,num_segments,total_duration,imbalance_ratio_max_min,label_entropy,count::down,count::left,count::left_down,count::left_up,count::right,count::right_down,count::right_up,count::up
person_19_day_high_h265.mp4,3,6,56,4752.0,23.0,1.916458,2,21,4,1,23,0,0,5
person_09_day_low_h265.mp4,3,5,142,10225.0,22.5,1.993309,41,45,0,2,38,0,0,16
person_03_day_high_h265.mp4,3,4,40,3585.0,19.0,1.377696,0,19,0,0,18,0,1,2
person_17_night_low_h265.mp4,3,3,29,2464.0,18.0,1.124259,1,10,0,0,18,0,0,0
person_07_day_low_h265.mp4,3,6,68,5761.0,17.0,1.774517,2,34,0,3,23,0,3,3
person_04_day_low_h265.mp4,3,8,178,6858.0,16.5,2.433045,66,35,7,5,37,9,4,15
person_09_night_low_h265.mp4,3,5,105,6251.0,16.5,2.037005,32,23,2,0,15,0,0,33
person_11_night_high_h265.mp4,3,5,163,6208.0,14.833333,1.8019,89,29,0,6,27,0,0,12
person_15_night_high_h265.mp4,3,3,112,5403.0,14.2,1.143435,5,71,0,0,36,0,0,0
person_17_night_high_h265.mp4,3,6,33,2678.0,14.0,1.827316,3,14,0,1,13,0,1,1
person_07_night_high_h265.mp4,3,5,114,7336.0,13.75,1.758856,4,55,0,13,37,0,0,5
person_18_day_low_h265.mp4,3,3,55,3101.0,13.5,1.188753,0,27,2,0,26,0,0,0
person_03_night_high_h265.mp4,3,5,54,2545.0,13.0,1.677855,0,26,3,2,20,3,0,0
person_17_day_low_h265.mp4,3,3,25,2186.0,13.0,1.197478,0,11,0,0,13,0,1,0
person_07_day_high_h265.mp4,3,4,92,4656.0,12.5,1.48634,7,50,0,0,31,0,0,4
person_14_day_low_h265.mp4,3,3,102,5292.0,12.333333,1.053633,0,74,0,0,22,0,0,6
person_13_night_high_h265.mp4,3,6,241,8325.0,11.111111,2.195372,100,49,12,9,41,0,0,30
person_14_night_high_h265.mp4,3,3,58,3443.0,10.75,1.04103,0,43,0,0,11,0,0,4
person_19_day_low_h265.mp4,3,4,23,1461.0,10.0,1.720066,5,7,0,0,10,0,0,1
person_08_night_high_h265.mp4,3,5,71,2902.0,7.0,2.115219,16,21,0,3,21,0,0,10
person_12_day_low_h265.mp4,3,3,9,686.0,5.0,1.351644,1,3,0,0,5,0,0,0
person_12_night_high_h265.mp4,3,4,12,617.0,5.0,1.825011,3,5,1,0,3,0,0,0
person_12_night_low_h265.mp4,3,3,10,997.0,2.5,1.485475,2,5,0,0,3,0,0,0
person_18_night_high_h265.mp4,3,2,39,2046.0,2.25,0.890492,0,27,0,0,12,0,0,0
person_19_night_high_h265.mp4,3,4,42,3270.0,2.0,1.93854,9,16,0,0,9,0,0,8
person_17_day_high_h265.mp4,3,2,32,2334.0,1.285714,0.988699,0,14,0,0,18,0,0,0
person_12_day_high_h265.mp4,3,2,6,500.0,1.0,1.0,0,3,0,0,3,0,0,0
